category,n,recall
direct_injection,1397,0.976
adversarial,383,0.773
jailbreak,291,0.553
encoding,177,0.633
training_extraction,68,0.853
system_manipulation,29,0.862
token_smuggling,27,1.0
rag_poisoning,26,1.0
persona_replacement,25,0.72
agent_manipulation,25,0.72
instruction_override,21,1.0
control,17,0.294
context_confusion,16,0.938
prompt_injection,16,1.0
model_fingerprinting,16,0.5
output_manipulation,16,0.812
prompt_extraction,14,0.857
response_manipulation,13,0.923
multi_turn,12,1.0
system_extraction,10,0.9
payload_injection,10,1.0
crescendo,9,0.111
indirect_injection,8,1.0
encoding_obfuscation,6,0.5
many_shot,5,0.8
token_injection,4,1.0
code_execution,4,1.0
prompt_leak,3,1.0
chain_of_thought,2,1.0
