subcategory,n,deberta_recall,pg2_recall,delta
direct_injection,637,0.981,0.743,0.238
adversarial,174,0.718,0.069,0.649
jailbreak,133,0.519,0.489,0.03
encoding,81,0.667,0.062,0.605
training_extraction,31,0.935,0.129,0.806
system_manipulation,13,0.923,0.538,0.385
token_smuggling,12,1.0,0.75,0.25
rag_poisoning,12,1.0,0.75,0.25
persona_replacement,11,0.818,0.455,0.363
agent_manipulation,11,0.636,0.273,0.363
instruction_override,10,1.0,0.7,0.3
control,8,0.25,0.0,0.25
context_confusion,7,1.0,0.429,0.571
prompt_injection,7,1.0,0.571,0.429
model_fingerprinting,7,0.286,0.143,0.143
output_manipulation,7,0.857,0.286,0.571
response_manipulation,6,1.0,0.833,0.167
prompt_extraction,6,0.833,0.167,0.666
system_extraction,5,0.8,0.0,0.8
multi_turn,5,1.0,0.4,0.6
payload_injection,5,1.0,0.6,0.4
crescendo,4,0.25,0.25,0.0
indirect_injection,4,1.0,0.75,0.25
encoding_obfuscation,3,0.333,0.0,0.333
code_execution,2,1.0,0.0,1.0
token_injection,2,1.0,1.0,0.0
many_shot,2,0.5,0.5,0.0
chain_of_thought,1,1.0,0.0,1.0
prompt_leak,1,1.0,1.0,0.0
